Price,Brand,Processor Brand,Processor Model,Generation,Processor Base Frequency,Processor Max Frequency,Processor Core,Processor Thread,CPU Cache,RAM,RAM Type,Storage Capacity,Display Size,Graphics Memory,Battery Capacity
82140,Lenovo,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL
81920,HUAWEI,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,LPDDR4X,512 GB,15.6,Shared,42
82460,HP,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL
81960,ASUS,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB ,DDR4,512GB,15.6,Shared,37
85250,DOEL,Intel,Core i7,10th Gen,1.8,4.9,4,8,8,8GB,DDR4,512GB,14,Shared,36
83590,Asus,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,512GB,14,Shared,37
82790,Lenovo,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,512GB,15.6,2GB,45
81420,Huawei,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,512GB,15.6,Shared,42
81420,Huawei,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,512GB,14,Shared,56
83600,Acer,Intel,Core i5,12th Gen,3.3,4.4,10,12,12,8GB ,DDR4,512GB,15.6,Shared,40
85250,Lenovo,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,512GB,15.6,2GB,45
86580,Asus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL
87670,HP,Intel,Core i5,12th Gen,2.4,4.2,10,12,12,8GB,DDR4,512 GB,15.6,Shared,41
88210,Dell,Intel,Core i5,12th Gen,"2,8",4.7,10,12,12,8GB,DDR4,512GB,15.6,Shared,41
85000,Acer,Intel,Core i7,11th Gen,2.8,4.7,4,8,12,8GB,DDR4,1TB,14,Shared,48
89560,Lenovo,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,512GB,14,2GB,56
90060,Lenovo,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,512GB,14,Shared,45
90600,Lenovo,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,1TB HDD+ 256GB M.2 NVME SSD,15.6,2GB,NULL
85514,Walton,Intel,Core i7,11th Gen,2.8,4.7,4,8,12,8GB,DDR4,512GB,14,Shared,49
90750,Lenovo,Intel,Core i5,12th Gen,2.8,4.7,10,12,12,8GB,DDR4,512GB SSD,15.6,Shared,45
87950,Acer,Intel,Core i5,12th Gen,2.8,4.7,12,16,12,8GB,DDR4,512GB,14,Shared,50
91180,Acer,Intel,Core i7,11th Gen,2.8,4.7,4,8,12,8GB,DDR4,512GB,14,Shared,48
90920,Dell,Intel,Core i7,11th Gen,2.8,4.7,4,8,12,8GB,DDR4,512GB,14,2GB,40
91900,Dell,Intel,Core i5,11th Gen,3.2,4.5,4,8,8,8 GB ,DDR4,512GB,15.6,Shared,54
88000,Xiaomi,Intel,Core i5,11th Gen,3.1,4.4,4,8,8,16GB,DDR4,512GB,14,Shared,NULL
93300,HP,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,512GB,14,Shared,45
92230,Dell,AMD,Ryzen 7,5th Gen,2,2,8,16,16,8GB,DDR4,512GB,15.6,Shared,41
97330,Lenovo,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,512GB,14,Shared,45
90200,Dell,Intel,Core i5,11th Gen,2.6,4.4,4,8,8,16GB ,DDR4,512GB,14,Shared,42
92770,ASUS,Intel,Core i5,12th Gen,2.6,4.4,12,16,12,8GB,DDR4,512GB,15.6,Shared,42
92770,Acer,AMD,Ryzen 5,5th Gen,2.1,4,6,12,8,8GB ,DDR4,512 GB,15.6,4GB,48
91850,Dell,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDr4,256GB,14,Shared,42
93530,Dell,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,512GB,15.6,2GB,41
93850,Lenovo,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL
92810,Dell,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,512GB SSD,15.6,2GB,41
92524,HP,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,512GB,15.6,Shared,45
94400,HP,Intel,Core i5,11th Gen,2.4,4.2,4,8,8,8GB,DDR4,512GB,14,Shared,45
94940,ASUS,Intel,Core i5,12th Gen,2.4,4.2,12,16,12,8GB,DDR4,512GB,14,Shared,42
